MMSI:367017010  Longitude:-73.9975  Latitude:40.704  Altitude:0  045780F0C82003D6AD4437974A80F216FF8800C076C8CB  02-Oct-2016 12:04:09
MMSI:366702000  Longitude:-74.0048  Latitude:40.7019  Altitude:0  04576DB6C3E008B6AD3B94174A3307AAFFAA08601044C6  02-Oct-2016 12:04:22
MMSI:366702000  Longitude:-74.005  Latitude:40.7013  Altitude:0  0C576DB6C3E008F6AD3B57174A1B575AFFBE081A71A170  02-Oct-2016 12:04:31
MMSI:366952890  Longitude:-74.0201  Latitude:40.6963  Altitude:0  0C577D06E80008FEAD29C117495EF9927ACC001E112649  02-Oct-2016 12:04:42
MMSI:367402250  Longitude:-73.9915  Latitude:40.7079  Altitude:0  04579874282009F6AD4B31174B106A46FFE00008C4BE2A  02-Oct-2016 12:04:50
MMSI:366702000  Longitude:-74.0055  Latitude:40.7001  Altitude:0  04576DB6C3E00856AD3AC19749EEE892FFE60800006F86  02-Oct-2016 12:04:52
MMSI:366702000  Longitude:-74.0058  Latitude:40.7  Altitude:0  0C576DB6C3E00866AD3A7E9749E838DFFFEE081AB1B8AC  02-Oct-2016 12:04:55
MMSI:366952890  Longitude:-74.0217  Latitude:40.6957  Altitude:0  0C577D06E800099EAD27D897494A899279F0001E21167B  02-Oct-2016 12:05:00
MMSI:366702000  Longitude:-74.0061  Latitude:40.6997  Altitude:0  0C576DB6C3E00896AD3A0B1749DFB930FF82081A011681  02-Oct-2016 12:05:02
MMSI:367402250  Longitude:-73.9928  Latitude:40.7077  Altitude:0  04579874282009F6AD49A6174B0B6A32FF82008022A222  02-Oct-2016 12:05:02
MMSI:366952890  Longitude:-74.0222  Latitude:40.6956  Altitude:0  0C577D06E80009BEAD273C97494379927804001B918AC3  02-Oct-2016 12:05:06
MMSI:366952890  Longitude:-74.0223  Latitude:40.6955  Altitude:0  04577D06E80009BEAD2722974942398878060000002BA8  02-Oct-2016 12:05:06
MMSI:366702000  Longitude:-74.0065  Latitude:40.6996  Altitude:0  0C576DB6C3E008A6AD399E9749D9A96BFF8C081C71D573  02-Oct-2016 12:05:07
MMSI:367017010  Longitude:-73.9956  Latitude:40.705  Altitude:0  045780F0C82003E6AD4669974AA3C282FF880080E6BD20  02-Oct-2016 12:05:08
MMSI:366702000  Longitude:-74.0068  Latitude:40.6995  Altitude:0  04576DB6C3E00896AD39439749D5A99CFF96080000D98C  02-Oct-2016 12:05:11
MMSI:367402250  Longitude:-73.9943  Latitude:40.7074  Altitude:0  04579874282009B6AD47E4174B00C9E2FFA401C0CC9773  02-Oct-2016 12:05:19
MMSI:366952890  Longitude:-74.0236  Latitude:40.6949  Altitude:0  0C577D06E82049DEAD259917492AD94C7228000700F225  02-Oct-2016 12:05:23
MMSI:366952890  Longitude:-74.0238  Latitude:40.6948  Altitude:0  0C577D06E82049DEAD2554174925C93871AE000A509185  02-Oct-2016 12:05:25
